Key,File,Type,UsedInMainMenu,NoTranslate,english

# ============================================================
# Navezgane Hospital Challenge — Localization
# Author: Frilioth
# Version: 0.2.0
# English only — other languages added later
# ============================================================

# ============================================================
# BUFFS
# ============================================================

buffHospitalVirusName,buffs,Buff,,,"Voss-7 Virus"
buffHospitalVirusDesc,buffs,Buff,,,"You are infected with Voss-7 — a mutated strain of the Septdiurnal Virus resistant to honey and antibiotics. Craft Virus Suppressants to slow its spread. Only Trader Jen has the cure."
buffVirusSuppressantWeakName,buffs,Buff,,,"Virus Suppressed (Weak)"
buffVirusSuppressantWeakDesc,buffs,Buff,,,"A weak dose. It's barely holding the virus back."
buffVirusSuppressantActiveName,buffs,Buff,,,"Suppressant Active"
buffVirusSuppressantActiveDesc,buffs,Buff,,,"The suppressant is working. The virus is retreating and you are protected from zombie infections."
buffVirusSuppressantStandardName,buffs,Buff,,,"Virus Suppressed"
buffVirusSuppressantStandardDesc,buffs,Buff,,,"The suppressant is slowing the virus. It won't last."
buffVirusSuppressantStrongName,buffs,Buff,,,"Virus Suppressed (Strong)"
buffVirusSuppressantStrongDesc,buffs,Buff,,,"A powerful dose. The virus retreats — for now."
buffHospitalTheCureName,buffs,Buff,,,"The Cure"
buffHospitalTheCureDesc,buffs,Buff,,,"The virus is gone. You're clean."
buffHospitalPermaDeathName,buffs,Buff,,,"Terminal Infection"
buffHospitalPermaDeathDesc,buffs,Buff,,,"The virus has won. There is no coming back."

# ============================================================
# ITEMS — SUPPRESSANTS
# ============================================================

hospitalVoss7Reagent,items,Item,,,"Voss-7 Reagent"
hospitalVoss7ReagentDesc,items,Item,,,"A synthesised antiviral compound derived from acid. Used in all three tiers of Virus Suppressant. 1 unit of acid yields 5 reagents."
hospitalSuppressantWeak,items,Item,,,"Weak Virus Suppressant"
hospitalSuppressantWeakDesc,items,Item,,,"A diluted antiviral cocktail. Slowly reduces infection by ~1% over 1 minute. Stacks with other suppressants. Better than nothing."
hospitalSuppressantStandard,items,Item,,,"Virus Suppressant"
hospitalSuppressantStandardDesc,items,Item,,,"A makeshift antiviral cocktail. Slowly reduces infection by ~2.5% over 2.5 minutes. Stacks with other suppressants. You'll need more."
hospitalSuppressantStrong,items,Item,,,"Strong Virus Suppressant"
hospitalSuppressantStrongDesc,items,Item,,,"A potent antiviral formula with acid catalyst. Slowly reduces infection by ~6.25% over 6 minutes. Stacks with other suppressants. The strongest you can make."

# ============================================================
# ITEMS — GYRO PARTS
# ============================================================

hospitalGyroSparkPlugs,items,Item,,,"Spark Plugs"
hospitalGyroSparkPlugsDesc,items,Item,,,"A set of spark plugs salvaged from a biker's motorcycle. Still functional."
hospitalGyroBlades,items,Item,,,"Rotor Blades"
hospitalGyroBladesDesc,items,Item,,,"Lightweight blades salvaged from hospital ventilation units. Not ideal, but they'll spin."
hospitalGyroControlCables,items,Item,,,"Control Cables"
hospitalGyroControlCablesDesc,items,Item,,,"Wiring and cable assemblies rigged from electrical parts and duct tape. Connects the cockpit to the engine."
hospitalGyroTailAssembly,items,Item,,,"Tail Assembly"
